,src,allophant_src,ref,mBART_machine_label_pred
116,àprí jábòt̪ɛ̀ ùɽì,aprijabot̪ɛoli,The boy climbed the tree (speaker is present).,the boy said that he saw it
117,àprí jábót̪à ùɽì,apriiavot̪aʊli,The boy will climb up the tree (speaker is present),the boy is drinking water
118,àprí jâùrú úɽì,aprijaoruoli,"The boy will climb down the tree (speaker is far away while the action is happening, or speaker is up in the tree).",the boy said that he saw it
119,àprí jùrú uɽi,apɾiijrooli,The boy climbed down the tree (speaker can be near or far).,The boy was a shepherd last year
120,àprí jùrú úɽì,aprijʊroulɪ,The boy climbed down the tree (speaker can be near or far).,The boy said that he saw it
121,àprí jábótɔ̀ jàbòt̪ɔ́ úɽì,aprijabot̪ojavot̪ɔolɪ,"The boy climbed up the tree (speaker is not present, or speaker is above boy).",The boy was looking at the lion
122,ðàmɔ̀cò ðǎpàt̪ɛ̀ àpríɲá èðè,d̪omocoðapat̪apɾɛɲaɛðe,The man took meat from the boy,The man will bring the basket (away) when I arrive
123,ðàmɔ̀cò ðápàt̪ɛ̀ àpríɲá èðè,lomɔcod̪apat̪eapɾɛɲaɛðə,The man took meat from the boy,lom (lom of cow) was given to the boy by the boy
124,ðàmɔ̀cò ðǎpàt̪ɛ̀ àpríɲá èðè ùnɛ̀ɾɛ̀,d̪omoceðapat̪eapɾeɲaeðeʊnere,The man took meat from the boy yesterday,the fox said that the boy ate the meat yesterday
125,kʊ̀bùlìjí ðɔ́màcà,kʊbʊɾiðomaca,He wrestled the man,Kuku drank water
126,kə̀bùlìjíŋì,kboliɛŋɪ,I wrestled him,he wrestled him
127,kə̀bùlìjîl,kbuliil,They wrestled him,The bowl is good.
128,ùrnɔ̀ kàrt̪îŋǐ,urnokart̪iŋɪ,Grandfather told me,grandfather said he saw it
129,ùrnɔ̀ kàrt̪îŋì,onakaɾt̪eni,Grandfather told me,‘Wait here now!’
130,t̪òlé t̪ìjɔ́ éðè,t̪olet̪ɪɔɛð,The lion ate meat,The lion ate it (the bone)
131,t̪òlé t̪ìjɔ́ ɛ́ðɛ̀,t̪olet̪ɪoeðe,The lion ate meat,the lion ate it (the meat) yesterday
132,àń áò kárɔ́gɛ́ ŋwɔ̀rá kágɛ́ àprí t̪ə́và lɔ̀mɔ̀,ənaokaroɡemorakaɡeaprit̪va,How did the children say the boy cut the bread?,who did grandfather say beat the drum?
133,ur̀nɔ̀ kávə́lɛ̂ðà kávə́rlɛ̂ðǎ ðàŋàlǎ kínǎ lómàn,ʊrnɔkablɛd̪əkavrlɛðad̪əalaknaloman,grandfather keeps pulling the sheep every day,grandfather pulls the sheep every day
134,ɽìt̪í sìcə̀lò,lit̪iseʃno,The palm tree is good,the dress is good
135,jár jìcə̀lò,jariɛʃelo,The ropes are good,The gourds are good.
136,àt̪uɟáj jìcə̀lò,atʊɟaijecilo,The bed strap is good,This bed strap is good.
137,ʊ̀nì kìcə̀lò,onekecilo,The basket is good,How are you?
138,ɽìtí t̪icilʊ ŋamɽaɾɛ,lit̪it̪ekolomlare,Palm tree is really good,They bought/sold a cow yesterday
139,àlbríð jìcə̀lò,albrɛðekɾo,The mat is good,their brother is good
140,kɛ̀kə̀lcí,kekənce,Parts of: He spread the mat yesterday,Kuku was a shepherd
141,kàðə́kə̀lcà,kad̪klcakaðkkɪcakkaðeklsa,Parts of: He is spreading the mat now,Kuku will introduce Kuku to me (far)
142,jòú jáŋkə́lcà,jojaŋklca,You are spreading it (mat),My brother is tall
143,ɔ̀ráj kàðə́kə̂lcǎ álbríðɔ́ t̪ə́wə̀nì,ɔrkaðaklcaabrɪðot̪əoni,My brother is spreading the mat now,he is looking at your brother now
144,ɛ̀vɛ̀ jìcə̀lò,evɛitil,vegetables are good,Return the book! (towards)
145,lídí lìcə̀lò,vid̪ɪleʃelo,The pot is good,the bowl is good
146,ltʊ̌ lìcə̀lò,toleʃelo,The fist is good,The shirt is good.
147,kúkù kə̀ŋací kákà lɛ̀dè,kukoŋaʃekakaledɪ,Kuku was given the coconut by Kaka,Kuku will show me the coconut
148,kúkùŋ àpríɲá,kwkonapɾeɲa,Parts of: The grandfather gave Kuku to the boy,Kuku will beat the drum
149,káŋcî rŋɔ̀,kancirŋo,He showed me the snake,he gave me the snake
150,káŋcîí ùrnɔ̀,kɛŋciʊrno,He showed me the snake (or grandfather?),he forgot something (far)
151,kàŋcî r̀ŋɔ̀,kaŋcirn,He showed me the snake,Scratch the skin!
152,kə̀ŋàcîŋì,naceŋi,Parts of: Kuku gave me the snake,The waters are nice
153,kúkù kə̀ŋàcî,kukukiŋaci,Parts of: Kuku gave me the snake,Kuku gave me the snake
154,kúkù kə̀ŋàcí ŕŋɔ̀ kákàŋ,kukʊkŋakiroməkaka,Kuku gave the snake to Kaka,Kuku is about to show me to you
155,kúkù kə̀ŋàcîí,kokoknaci,Parts of: Kuku gave me the snake,Kuku introduced me to him
156,kúkù kə̀ŋàcîŋǐ,kukuŋaciŋi,Parts of: Kuku gave me the snake,Kuku gave me the snake
157,kə̀ŋàcîŋǐ,kɪŋatiŋi,Parts of: Kuku gave me the snake,I am about to show him to you
158,kə̀ŋàcîŋí,knaciŋɪ,Parts of: Kuku gave me the snake,he was a shepherd
159,kə̀ŋàcáŋá,nacananu,Parts of: You gave Kuku the snake,the water is in the well
160,kúkù kə̀ŋàcâŋǎ ŕŋɔ̀ kúkù kə̀ŋàcáŋá ŕŋɔ̀,ɡcŋcaŋŋo,(comparing tones of [âŋà] and [áŋá]),Parts of: Kuku gave me the snake
161,àn ìɾí kɛ̂ɛ́,anɛrikɛ,This is a trough.,This is a trough
162,ìɾí kìcə̀lò,ɛrikicilom,The trough is good. ,his/her brothers are good
163,àdám jɛ́ jìcə̀lò,ad̪amjejeco,this book is good,I am about to taste the soup
164,lɔ̀mɔ̀ lìcìlɔ̀,nɔmoleʃelo,the bread is good,The kings are good.
165,jɜ̀ŋci jàŋcí jàŋcí,jɛŋcijaŋkijaŋki,Parts of: I showed the dog the boy,I showed him the snake
166,jɜ̀ŋci jɜ̀ŋci jàŋcí jàŋcí,jɛtijɛcijcijaneci,Parts of: I showed the dog to the boy,My father was a shepherd
167,kúkù kàŋcíŋì ŋâŋ,kukukaŋtiŋina,Kuku showed me to you,Kuku showed me the snake
168,kúkù kàŋcíŋì ŋûŋ,kokukanciŋɪmo,Kuku showed me to him/her/it,Kuku showed me a snake
169,kàŋcíŋì kúkù,kanciŋikuku,Kuku showed me to him/her/it,Kuku was given to me by Kuku
170,kúkù kàŋcáŋà ŋúŋ,kukoɡaŋcaaŋom,Kuku showed you to him/her/it,Kuku gave you the snake
171,kàŋcáŋǎ kúkù,kanicanakuku,Kuku showed him/her/it to you,Kuku was good
172,kàŋcáŋà kúkù,kancanakʊɡu,Kuku showed him/her/it to you,he helped you
173,kíŋâgɛ̀rɛ́ kúɽì,kiɲaɡerekolɪ,I went to the forest with him,I went to the forest with him
174,ŋgìɲágɛ́rɛ̀ kúɽì,ɡɲaɡerajkʊlɪ,you went to the forst with him,I went to the forest with him
175,kálgɛ́rɛ́ kúɽî,kalɡerekulɪ,she went to the forest with him,Kalu is in the family tree
176,álárɛ́ kúɽì,alarekoli,you and I went to the forest,They went to be lost yesterday
177,kalɛrɛr kúɽì,kaleɾərpuri,we all went to the forest,he broke the stick
178,kálɛ̀rɛ̀ kúɽì,kallerekulɪ,they went to the forest with him,Kalu is in the family tree
179,kállɛ̀rɛ̀ kúɽì,kallerekulɪ,they went to the forest with him,Kalu is in the family tree
180,kúrǐ kìcə̀lò,olikecelo,the forest is good,The mouth is nice
181,kúɽì kìcə̀lò,kolɪkiklo,the forest is good,The medicine is good.
182,íŋgájjínɔ̀,iŋɡaino,I'm feeding (myself),I am about to eat food
183,àɟà kèné,aɟakene,sometimes,Help Kuku!
184,íɾíjɛ́ kɛ́ɽcàn,erɪekrʃan,20,his/her uncle is good
185,kə̀t̪ɛ̀ví àprɛ̀ɲà ŋàɲà,kət̪viaprɛɲaŋaɲa,He made the boy cut the grass,Throw the lion at him! (far)
186,ðə̀gʊ̀bʊ́l,ðekobo,pumpkin,Kuku will chop meat
187,bʊ̀gʊ́l kìcə̀lò,bukokeʃeo,pumpkins are good,Kuku is good
188,kúkù kàŋt̪ɔ́ kákàŋú bɛ́tɛ̀n nɛ̀ lɛ̀vɛ̀r,kʊkʊkat̪okakaŋobet̪ennelv,Kuku also saw Kaka in the field,Kuku drank water in the field
189,kúkù bɛ́tɛ̀n kâŋt̪ɔ́ kákàŋú nɛ̀ lɛ̀vɛ̀r,ʔukubat̪ɛnkatkakamonelvar,Kuku also saw Kaka in the field,Kuku saw Kaka in the field
190,àn kákà bɛ́tɛ̀ń kâŋtɔ́ kúkù nɛ̀ lɛ̀vɛ̀r,əkakəbat̪ənkat̪okukʊd̪əlavar,Kuku saw Kaka also in the field,Kuku will see Kaka in the field (far)
191,kúkù kâŋtɔ́ kɔ́rìŋú nɛ̀ lɛ̀vɛ̀r dɛ̀ àn kákà kâŋtɔ́ŋ nɛ̀ lɛ̀vɛ̀r,kokɡat̪ɔkɔrɪŋdelvɛdeakakakat̪onelvar,"Kuku didn't see Kɔɾi in the field, he saw Kaka",Kuku saw Kaka in the field (and left)
192,t̪àrɔ́ŋt̪ɛ́ t̪á t̪àŋòŋs,t̪aɾot̪et̪at̪am,he said he saw it,he is drinking water now
193,tá kúkù r̀lɛ̀ɲì,t̪aʔukolɛɲɪ,Kuku chased it away,who did Kuku see?
194,ɲìjɔ́l kúkù,nɪjɔrkʊku,Kuku ate it (the soup),My sibling is good
195,jít̪ə̀vìnɔ̀,jet̪iveno,i cut myself,be lost! (far)
196,búr ɲát̪ə́vìnɛ̌,borɲat̪vine,go and cut yourselves,Go in now! (far)
197,bú ɲát̪ə́vìnɛ̌,buɲaɲat̪vine,go and cut yourselves,now exit (towards)
198,íŋgát̪ə̀vɔ́,iŋɡat̪vo,Parts of: I'll go cut the rope (and come back),I am going to cut
199,nìcɔ́lɔ̀,niʔono,brown squirrels,Eat at night!
200,ácám kìcə̀lò,asamkiselo,civet is good,the stick is good
201,rî rìcə̀lò,rireʃlo,thorns are good,The fist is good.
202,ðî ðìcə̀lò,viəcilo,the thorn is good,The guns are good.
203,áɾò kìcə̀lò,arokiʃilo,the chicken is good,This support pole is good.
204,ðô ðìcə̀lò,ðoðecino,the stick is good,To drink water is good
205,rô rìcə̀lò,rɔreʃelo,sticks are good,The cucumber is good.
206,ìðɔ̀ŋɔ̀ ígùn kà kńnà èmàɾðɛ́n ápátɛ̀ kɔ́ɾà,iðiɡʊaknaimarðenapat̪iɡra,"her child, every woman brought him to school",Which song did grandfather like of the boy's?
207,ɛ̀ðɛ̀ jìcə̀lò,ɛðjecel,meat is good,The poison/pain is good.
208,ðù ðìcə̀lò,d̪uðecilo,the heart is good,The wood is good.
209,rù rìcə̀lò,rorekl,the hearts are good,The skirt is nice
210,ðú ðáɲì pɔ̀,ðʊðanɪpo,the heart is beating,worm is good
211,tə̀vá lúɔ̀,t̪valo,cut the cloth,cut the rope! (far)
212,àvàlá kèclò,avalakicilo,The cat is good.,Jujube fruit is good.
213,àvàlà kèclò,avalakeʃl,The cat is good.,The water is good.
214,ɛ̀màð kìclò,mɛðkɛcilo,The friend is good,The mat is good.
215,àmàð kìclò,amaskicelo,The friend is good,the skirts are beautiful
216,nɛ̀gɛ̀ðɔ́l,neɡeðol,enemies with,Eat at night!
217,ɔ̀mnɛ̀ð kìcò,omneðkɪʔo,The enemy is bad,The man is about to eat the food
218,ɛ̀vlá ŋ́gúɽì,ɛvlaɡuli,cat of the wild,I pulled it (sheep) here
219,ùlíŋgɛ́ kìclò,olɪŋɡekesilo,The night is good,his/her mother is good
220,ùjɛ̀l kìclò,ʊjɛlkeʃelo,The shadow is nice,birds/spirits are good
221,d̪ùd̪ɔ̀ ðìclò,d̪ud̪oviclo,The floor is good,The rope is good.
222,óɾá kìcə̀lò,orakəcilo,the child is good,Scratch the skin!
223,ɛ́ðɛ́ jìcə̀lò,ɛðejeʃelo,the animals are good,The meat is good.
224,óɾá kɛ́ kúkǔ kàmɔ̀ŋt̪ɔ́ ɛ́ðɛ̀,oɾakekʊkukamat̪ɔeve,kuku's child took care of his animals,child asked Kuku about it
225,óɾá kɛ́ kúkǔ kàmɔ̀ŋnɔ́ ɛ́ðɛ̀ íjún ùnɛ̀ɾɛ̀,eoɾakekukukamnoeveiʊnneð,Kuku's child took care of his animals,Kuku saw Ngaru in the field
226,òɾá kɛ́ kúkù kàmɔ̀ŋnɔ́ ɛ́ðɛ̀ íjɛ̀ɲí,orakkukukmeveieɲɪ,Kuku's child took care of my animals,Grandfather asked Kuku who ate it.
227,òɾá kɛ́ kúkù kàmɔ̀ŋnɔ́ ɛ́ðɛ̀ íjɛ̀ɲí ùnɛ̀ɾɛ̀,wɾakekʊkʊkamaŋnaeðeieɲiʊnere,Kuku's child took care of my animals yesterday,Kuku's child took care of his animals yesterday
228,sɔ̀ɽìŋgɔ́,soliŋɡo,donkey,I will see the rock.
229,ábŕtɔ́ sàɽíŋgɔ̀,abkəsaliŋ,ride the donkey,be weak
230,sɔ̀ɽíŋgɔ́ sádàn sáðúɽà ŕ ŋɛ́mbùɽù,sliŋɡsedansðllo,small donkey is breastfed like a calf,his/her/their mother is good
231,sɔ̀ɽíŋgɔ́ sádàn,saliŋɡwasad̪an,small donkey,he will steal her cow
232,sɔ̀ɽíŋgɔ́ sátàɽán,sɛiŋɡaseɾalan,small small,Parts of: These people eat a lot (far)
233,ŋán ŋìcàlò,nnɲeʃilo,the milk is good,The rabbits are good.
234,kɔ̀t̪ìnɔ́,kt̪ino,to braid,braid (yourself) (here)
235,ìrɔ́ jɛ̀cə̀lò,irojecelo,the hair is beautiful,The hairs are good.
236,ìrɔ́ jìcə̀lò,ɛraiecino,hair is beautiful,my father is good
237,sɔ̀ɽíŋgɔ́ sátàɽǎn,saleŋɡɔssət̪alam,small donkey,he is going to cut the rope
238,ŋán ŋìcə̀lò,nannicelo,the milk is good,The foxes are good.
239,àbrá t̪ɔ́wə̀nì,brat̪vəni,jump now! (far/towards),Break the log! (far)
240,láíðɔ̀ ìjɔ̀,leðəi,they will make a fire,They were shewed
241,kɔ́t̪ínɔ́,kot̪ino,braid hair,braid (hair)
242,ìrɔ́ jìcə̀lò,irojeʃelowi,the hair is beautiful,The poisons/pains are good.
243,làbúlìjɔ̀,labuli,Parts of: They will wrestle the man,They wrestle (far)
244,d̪úɾú ɛ́lɔ̌,d̪ʊroɛlo,Stand up,wood (pl) are good
245,lɛ̀d̪ùɾú jû,led̪oroio,They stopped there,They stood here
246,lɔ̀bìðí bacʊm,lobd̪ibaʃimɡd̪ɛn,They met with the fox,They will build a house tomorrow
247,kə́nà àprí jə̀gàràt̪ɔ́ ðówɛ́ nɛ̀ lə̀və́r lɛ́ðɛ́t̪ɛ̀n,napɾiiɡaɾat̪oðweleverevet̪en,Every boy broke a stick in his father's field,The boy will pull the sheep (towards)
248,jígíɲàt̪ɔ̀,iɡɲat̪o,I broke,I broke
249,íjìbí ɔ́ɾà kɛ́ kúkù ŋà,jibɪoɾakekʊkʊa,I married Kuku's sister,I visited Kuku's mother
250,íjìbí ɔ́ɾà kɛ́ kúkú,eimɔakɛkʊʔo,I married Kuku's sister,I cooked soup and left
251,kɔ́t̪ɔ́ ìrɔ́ íjùn,kot̪oɪroiun,Braid her hair. ,he saw it (sheep) yesterday
252,kɔ́t̪ɔ́ ìrɔ́,kot̪oɪro,Braid hair. ,they braided hair
253,kɔ̀t̪á ìrɔ́ íjùn,kot̪airoiu,Braid her hair (far away).,he is a shepherd
254,lákɔ̀t̪ìnɔ́,lakot̪ino,They will braid themselves (far away),They will braid themselves.
255,ŋɔ̀ɽíŋgɔ̀,maoliŋɡo,adult donkey,the snake is small
256,ɲɔ̀ɽíŋgɔ́,ɲoliŋɡo,donkeys,extinguish the candles!
257,ábró t̪ɜ́wə̀nì,abrɔt̪aane,Jump now.,Dance now! (towards)
