transcription,rewritten_transcript,translation,decoded_phonemes,split
ðə̀və̀lɛ̀ðɔ̀,ðə̀və̀lɛ̀ðɔ́,he pulled it (sheep) towards,ð e v l e ð ɔ,train
ðə̀və̀lɛ̀ðɔ̀,ðə̀və̀lɛ̀ðɔ́,n/a,ð v l e ð o,train
ðá áprí və́lɛ̀ðɔ̀,ðá ápɾí və́lɛ̀ðɔ́,boy will pull it (sheep) towards,v a a p ɾ ə v l e v,train
ðá áprí və́lɛ̀ðɔ̀,ðá ápɾí və́lɛ̀ðɔ́,n/a,ð a a p r ə v l e v o,train
ðá áprí və́lɛ̀ðɔ̀,ðá ápɾí və́lɛ̀ðɔ́,n/a,ð a a p r i v l e ð o,train
ðá áprí və́lɛ̀ðɔ̀,ðá ápɾí və́lɛ̀ðɔ́,n/a,d̪ a a p r e v l e ð o,train
ðá áprí və́lɛ̀ðɔ̀,ðá ápɾí və́lɛ̀ðɔ́,n/a,v a a p ɾ e b l e ð o,train
ðá áprí və́lɛ̀ðɔ̀,ðá ápɾí və́lɛ̀ðɔ́,n/a,ð a a p ɾ e v ə l ɛ ð o,train
ðá áprí və́lɛ̀ðà,ðá ápɾí və́lɛ̀ðà,boy will pull it (sheep) away from,v a a p ɾ o ð l e ð a,train
ðá áprí və́lɛ̀ðà,ðá ápɾí və́lɛ̀ðà,n/a,l a p ɾ e v l e ð a,train
ðá áprí və́lɛ̀ðà,ðá ápɾí və́lɛ̀ðà,n/a,ð a a t r e v ə l e ð ə,train
ðá áprí və́lɛ̀ðà,ðá ápɾí və́lɛ̀ðà,n/a,l a p ɾ ə v l e ð a,train
ðá áprí və́lɛ̀ðà,ðá ápɾí və́lɛ̀ðà,n/a,v a a p ɾ ə v l ɛ ð a,train
án ɔ́ɟɔ́ kə́və́lɛ̀ðɔ̀,ân ɔ́ɾɔ́ kə́və̀lɛ̀ðɔ́,Who pulled it (sheep or something else) towards? ,a m a ɟ o k o l ɛ ɡ o,train
án ɔ́ɟɔ́ kə́və́lɛ̀ðɔ̀,ân ɔ́ɾɔ́ kə́və̀lɛ̀ðɔ́,n/a,ɛ n ɔ ɟ o k k o m l ɛ ð o,train
án ɔ́ɟɔ́ kə́və́lɛ̀ðɔ̀,ân ɔ́ɾɔ́ kə́və̀lɛ̀ðɔ́,n/a,a n o j o k a l e ð o,train
án ɔ́ɟɔ́ kə́və́lɛ̀ðɔ̀,ân ɔ́ɾɔ́ kə́və̀lɛ̀ðɔ́,n/a,a m o ɟ o k v l e v,train
án ɔ́ɟɔ́ kə́və́lɛ̀ðɔ̀,ân ɔ́ɾɔ́ kə́və̀lɛ̀ðɔ́,n/a,a n o ɟ ə k o l ɛ ð ə,train
án ɔ́ɟɔ́ kə́və́lɛ̀ðɔ̀,ân ɔ́ɾɔ́ kə́və̀lɛ̀ðɔ́,n/a,a n o ɟ o k a v l ɛ ð o,train
án ɔ́ɟɔ́ kə́və́lɛ̀ðɔ̀,ân ɔ́ɾɔ́ kə́və̀lɛ̀ðɔ́,n/a,a n o ɟ o k o m l ɛ v ə,train
ðə̀və̀lɛ̀ðɔ́ ɔ́ɟɔ̀,ðə̀və̀lɛ̀ðɔ́ ɔ́ɾɔ̀,Who pulled the sheep (toward)?,v e m l e ð o o ɟ o,train
ðə̀və̀lɛ̀ðɔ́ ɔ́ɟɔ̀,ðə̀və̀lɛ̀ðɔ́ ɔ́ɾɔ̀,n/a,ð v l e ð o o ɟ o,train
ðɔ́ɟɔ́ və́lɛ̀ðɛ̀,ðɔ́ɾɔ́ və́lɛ̀ðɛ̀,Who pulled it (sheep) away?,ð o ɟ o v l e ð e,train
ðà ɔ́ɟɔ́ və́lɛ̀ðɛ̀,ðà ɔ́ɾɔ́ və́lɛ̀ðɛ̀,Who pulled it (sheep) away?,v a ɔ ɟ o v l ɛ ð e,train
ðɔ́ɟɔ́ və́lɛ̀ðɛ̀,ðɔ́ɾɔ́ və́lɛ̀ðɛ̀,n/a,d̪ a ɟ o v l e ð e,train
ðà ɔ́ɟɔ́ və́lɛ̀ðɛ̀,ðà ɔ́ɾɔ́ və́lɛ̀ðɛ̀,n/a,o ɟ o v l e ð e,train
ðà ɔ́ɟɔ́ və́lɛ̀ðɛ̀,ðà ɔ́ɾɔ́ və́lɛ̀ðɛ̀,n/a,l a o ɟ o v l e v e,train
ǎn ɔ́ɟɔ́ kávə́lɛ̀ðɛ̀,ân ɔ́ɾɔ́ ká və́lɛ̀ðɛ̀,Who pulled it (sheep or something else) away?,a n o ɟ o k a v l e ð e,train
ǎn ɔ́ɟɔ́ kávə́lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,ân ɔ́ɾɔ́ ká və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,Who pulled it (sheep or something else) away yesterday?,a n o ɟ o k a v l e ɡ ʊ n e r e,train
ǎn ɔ́ɟɔ́ kávə́lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,ân ɔ́ɾɔ́ ká və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,a n o ɟ ə k a b l ə ɡ ə ʊ n ɛ ɾ ə,train
ǎn ɔ́ɟɔ́ kávə́lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,ân ɔ́ɾɔ́ ká və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,a n o ɟ ə k a v l e ð e o n e ɾ,train
ðà ɔ́ɟɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,ðà ɔ́ɾɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,Who pulled it (sheep) away yesterday?,v a o ɟ o v l i ð e o n ɛ r,train
ðá ɔ́ɟɔ́ və́lɛ̀ðǎ nd̪ɔ̀bàgɛ̀,ðá ɔ́ɾɔ́ və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,Who will pull it (sheep) away tomorrow?,ð a o ɟ o v l e ð a d̪ o v a ɡ e,train
ðá ɔ́ɟɔ́ və́lɛ̀ðǎ nd̪ɔ̀bàgɛ̀,ðá ɔ́ɾɔ́ və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,n/a,ð o ɟ o v l e ð a d̪ o v a ɡ e,train
ðá ɔ́ɟɔ́ və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ðá ɔ́ɾɔ́ və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,Who will pull it (sheep) away tomorrow?,v a o ɟ o v l i r a d̪ o v a ɡ e,train
ðá ɔ́ɟɔ́ və́lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,ðá ɔ́ɾɔ́ və́lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,Who will pull it (sheep) towards tomorrow?,v a o ɟ o v l i ɡ o ð o v a ɡ e,train
ðá ɔ́ɟɔ́ və́lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,ðá ɔ́ɾɔ́ və́lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,n/a,r a o ɟ e v l e ð ɔ d̪ o v a ɡ e,train
án ɔ́ɟɔ́ kávə̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,ân ɔ́ɾɔ́ ká və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,Who will pull it (sheep or something else) towards tomorrow?,a n o ɟ o k a b l e ð o d̪ o v a ɡ e,train
án ɔ́ɟɔ́ kávə̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,ân ɔ́ɾɔ́ ká və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,n/a,ə n o ɟ o k a v l e ð o ð o b ɡ e,train
án ɔ́ɟɔ́ kávə́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ân ɔ́ɾɔ́ ká və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,Who will pull it (sheep or something else) away tomorrow?,a n o ɟ ə k a v l ɛ ð a d̪ ə v ə ɡ e,train
án ɔ́ɟɔ́ kə́və̀lɛ̀ðɔ̀l,ân ɔ́ɾɔ́ kə́və̀lɛ̀ðɔ́l,Who pulled them (sheep) towards? ,ə n a ɡ o k ɔ v l e v ə,train
jə̀və̀lɛ̀ðɔ́l ɔ́ɟɔ̂,jə̀və̀lɛ̀ðɔ́l ɔ́ɾɔ̀,Who pulled them (sheep) towards? ,j e v l e ð a l ɔ ɟ o,train
jə̀və̀lɛ̀ðɔ́l ɔ́ɟɔ̂,jə̀və̀lɛ̀ðɔ́l ɔ́ɾɔ̀,n/a,i ɛ v l ɛ v a ɔ ɟ o,train
jə̀və̀lɛ̀ðɔ́l ɔ́ɟɔ́ ùnɛ́ɾɛ̀,jə̀və̀lɛ̀ðɔ́l ɔ́ɾɔ́ ùnɛ́ɾɛ́,Who pulled them (sheep) towards yesterday? ,j e v l e ð a l o ɟ o ʊ n a ɾ e,train
jə̀və̀lɛ̀ðɔ́l ɔ́ɟɔ́ ùnɛ́ɾɛ̀,jə̀və̀lɛ̀ðɔ́l ɔ́ɾɔ́ ùnɛ́ɾɛ́,n/a,i v l e ð a l a ɟ a o n a ɾ e,train
jə̀və̀lɛ̀ðɔ́l ɔ́ɟɔ́ ùnɛ́ɾɛ̀,jə̀və̀lɛ̀ðɔ́l ɔ́ɾɔ́ ùnɛ́ɾɛ́,n/a,v l e ð a l o ɟ o o n a r e,train
án ɔ́ɟɔ́ kálvə̀lɛ̀ðɛ̌ ùnɛ́ɾɛ̀,ân ɔ́ɾɔ́ kál və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,Who pulled them (sheep/other) away yesterday?,ə n o j ɔ k a l v l e ð e o n m e ɾ e,train
án ɔ́ɟɔ́ kálvə̀lɛ̀ðɛ̌ ùnɛ́ɾɛ̀,ân ɔ́ɾɔ́ kál və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,a n o ɟ o k a l v l e ð e o n e ɾ,train
án ɔ́ɟɔ́ kálvə̀lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,ân ɔ́ɾɔ́ kál və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,Who pulled them (sheep/other) away yesterday?,a n a ɟ ə k a l v l e v e o n e r e,train
jál ɔ́ɟɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,jál ɔ́ɾɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,"Who pulled them (sheep) away yesterday?
",j ɛ l ɔ j o v l ɛ ð e ɔ n m ɛ ɾ e,train
jál ɔ́ɟɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,jál ɔ́ɾɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,i a l o ɟ e v l e ð ə o n a ɾ e,train
jál ɔ́ɟɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,jál ɔ́ɾɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,i a ɔ j o v l ɛ ð ɔ n a ɾ e,train
jál ɔ́ɟɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,jál ɔ́ɾɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,j a l u ɔ j o v l e ð e o n e ɾ e,train
jál ɔ́ɟɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ̀,jál ɔ́ɾɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,n/a,i a l o ɟ o v l i ð e o n e r,train
àn ɔ́ɟɔ́ kálvə̀lɛ̀ðɛ́l únɛ̀ɾɛ̀,àn ɔ́ɾɔ́ kál və́lɛ̀ðɛ̀ únɛ́ɾɛ́,Who pulled them (sheep) away yesterday?,i a a n o ɟ o k a l v l e ð e l ʊ n e r,train
àn ɔ́ɟɔ́ kálvə̀lɛ̀ðɛ́l únɛ̀ɾɛ̀,àn ɔ́ɾɔ́ kál və́lɛ̀ðɛ̀ únɛ́ɾɛ́,n/a,a n o j o k a l v l e ð ɛ l o n e ɾ,train
jál ɔ́ɟɔ́ və́lɛ̀ðɛ̌l ùnɛ́ɾɛ̀,jál ɔ́ɾɔ́ və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,Who pulled them (sheep) away yesterday?,i a l o ɟ o ɡ l e ð a l o n a ɾ e,train
án ɔ́ɟɔ́ kálvə́lɛ̀ðɛ̀l ùnɛ́ɾɛ̀,ân ɔ́ɾɔ́ kál və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,Who pulled them (sheep) away yesterday?,a n o ɟ o k a l v l e ð e l o n a ɾ e,train
án ɔ́ɟɔ́ kálvə́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ân ɔ́ɾɔ́ kál və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,Who will pull them (away) tomorrow?,a n o ɟ o k a l v l ɛ ð a d̪ o v a ɡ e,train
án ɔ́ɟɔ́ kálvə̀lɛ̀ðɔ́ nd̪ɔ̀bagɛ̀,ân ɔ́ɾɔ́ kál və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,Who will pull them (towards) tomorrow?,a n o ɟ ə k a l l ə ð o d̪ o v a ð,train
jál ɔ́ɟɔ́ və́lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,jál ɔ́ɾɔ́ və́lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,Who will pull them (sheep) (towards) tomorrow?,i a l o ɟ o v l ə ð o d̪ o v a ɡ ə,train
án ɔ́ɟɔ́ kálvə̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,ân ɔ́ɾɔ́ kál və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,Who will pull them (towards) tomorrow?,a n o j o k a l v l e ð o n d̪ a v a ɡ e,train
jál ɔ́ɟɔ́ və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,jál ɔ́ɾɔ́ və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,Who will pull them (sheep) (away) tomorrow?,i a l o ɟ o v l e ð a d̪ o v a ɡ e,train
án áprí jə̀ɾâu jálvə́lɛ̀ðà,ân ápɾí jàɾà jál və́lɛ̀ðà,Which boy will pull them (away)?,a n a p ɾ e ɾ a o i a l v l e ð a,train
án áprí jərâu jálvə́lɛ̀ðɔ̀ nd̪ɔ̀bàgɛ̀,ân ápɾí jə̀r̀à jál və́lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,Which boy will pull them (sheep) (towards) tomorrow?,a n a p e ɾ a i a l v l e ð ə n d̪ o v a ɡ e,train
án áprí jə̀ɾâu jálvə́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ân ápɾí jàɾà jál və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,Which boy will pull them (sheep) (away) tomorrow?,ə n a p ɾ ə ɾ a o i a l v l e ð n d̪ a v a ɡ e,train
án áprí jərâu jávə́lɛ̀ðɔ̀ nd̪ɔ̀bàgɛ̀,ân ápɾí jə̀r̀à já və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,Which boy will pull it (sheep) (towards) tomorrow?,ɾ a p ɾ ə n o j a b l ə d̪ o d̪ o m a ɡ ɛ,train
ðá áprí jə̀râu və̀lɛ̀ðɔ̀ nd̪ɔ̀bàgɛ̀,ðá ápɾí jə̀r̀à və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,Which boy will pull it (sheep) (towards) tomorrow?,ð a p r e i r a v l e ð o n d̪ o v e ɡ e,train
ðá áprí jərâu və̀lɛ̀ðà ndɔ̀bàgɛ̀,ðá ápɾí jə̀r̀à və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,Which boy will pull it (sheep) (away) tomorrow?,ð a a p r ə ɪ ɾ a v l e ð a n d̪ a v a ɡ e,train
án áprí jə̀ɾâu jávə́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ân ápɾí jàɾà já və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,Which boy will pull it (sheep) (away) tomorrow?,a n a p ɾ a o i a v l e ð a d̪ o v a ɡ e,train
ðəvə̀lɛ̀ðɔ́ áprì ndɔ̀n,ðə̀və̀lɛ̀ðɔ́ ápɾí ndɔ̀n,When did the boy pull it (towards)?,ð v l e ð o a p ɾ e d o n,train
ðə̀və̀lɛ̀ðɔ́ ndɔ́n áprì,ðə̀və̀lɛ̀ðɔ́ ndɔ́n ápɾí,When did the boy pull it (towards)?,ð v l i ð o n d o n a p r e,train
án ndɔ́n kə́və̀lɛ̀ðɔ́gɛ́ áprì,ân ndɔ́n kə́və̀lɛ̀ðɔ́gɛ́ ápɾí,When did the boy pull it (sheep) (towards)?,a n d̪ o ŋ k l ə ð a ð a a p ɾ ɛ,train
án ndɔ́n kə́və̀lɛ̀ðɔ́gɛ́ áprì ðàŋàlà,ân ndɔ́n kə́və̀lɛ̀ðɔ́gɛ́ ápɾí ðàŋàlà,When did the pull it (sheep) (towards)?,a n d̪ a n k v l e ð a b e a p ɾ e ð a m a l a,train
ǎn ndɔ́n kágɛ́ àprí və́lɛ̀ðɛ̀ ðàŋàlà,ân ndɔ́n kágɛ́ àpɾí və́lɛ̀ðɛ̀ ðàŋàlà,When did the boy pull it (sheep) (away)?,ɛ n d̪ o ŋ k a ɡ e a p ɾ ɛ b l ə d̪ ə d̪ a ŋ a l a,train
ðà áprí və̀lɛ̀ðɛ̀ ndɔ̀n,ðà ápɾí və́lɛ̀ðɛ̀ ndɔ̀n,When did the boy pull it (sheep) (away)?,ð a a p ɾ ɛ b l e ð e n d o n,train
ðəvə̀lɛ̀ðɔ́ ápri aù,ðə̀və̀lɛ̀ðɔ́ ápɾí rù,How did the boy pull it (sheep) (towards)?,ð e b l e ð o a p ɾ ɪ a w,train
ǎn âu kágɛ́ áprì və́lɛ̀ðɛ̀ ðàŋàlà,ân ân kágɛ́ ápɾí və́lɛ̀ðɛ̀ ðàŋàlà,How did the boy pull it (sheep) (away)?,a n a o k a ɡ e a p r e v l e r e ɡ a ŋ a l a,train
ðà áprí və́lɛ̀ðɛ̀ âu,ðà ápɾí və́lɛ̀ðɛ̀ ân,How did the boy pull it (sheep) (away)?,d̪ a p ɾ ɛ b l ə ð ə a w,train
ləvə̀lɛ̀ðɔ́lə́ŋʊ,lə̀və̀lɛ̀ðɔ́lɔ́ŋ,He pulled them (people),l v l ɛ ð a l o m o,train
ðə̀və̀lɛ̀ðɔ́ŋʊ̀,ðə̀və̀lɛ̀ðɔ́ŋ,He pulled it (sheep),ð v l e ð o m,train
ðə̀və̀lɛ̀ðɔ́ŋʊ̀ ùnɛ́ɾɛ̀,ðə̀və̀lɛ̀ðɔ́ŋ ùnɛ́ɾɛ́,He pulled it (sheep) yesterday,d̪ v l e ð a m o o n e ɾ e,train
lə̀və̀lɛ̀ðɔ́lə́ŋʊ̀ ùnɛ̀ɾɛ̀,lə̀və̀lɛ̀ðɔ́lɔ́ŋ ùnɛ́ɾɛ́,He pulled them (people) yesterday,l v l ɛ ð a l m ʊ n a r e,train
jə̀və̀lɛ̀ðɔ́lɔ́ŋʊ̀,jə̀və̀lɛ̀ðɔ́lɔ́ŋ,He pulled them (sheep),i l i ɛ v l ɛ d a l e,train
jə̀və̀lɛ̀ðɔ́lɔ́ŋʊ ùnɛ̀ɾɛ̀,jə̀və̀lɛ̀ðɔ́lɔ́ŋ ùnɛ́ɾɛ́,He pulled them (sheep) yesterday,i v l e ð a l m o n a ɾ e,train
ðəvə̀lɛ̀ðɔ́ŋ áprì ɲà,ðə̀və̀lɛ̀ðɔ́ŋ ápɾí ɲà,It (sheep) pulled the boy,v l e ð o a p ɾ e ɲ a,train
jíŋgávə́lɛ̂ðɛ̌ ðàŋàlà ùnɛ́ɾɛ̀,íŋgà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,I pulled the sheep (away) yesterday.,j ɛ ŋ ɡ a v l e ð e v a l a o n ɛ ɾ e,train
jǐŋgávə́lɛ̂ðɛ̌ ðàŋàlà ùnɛ́ɾɛ̀,jǐŋgávə́lɛ̂ðɛ̌ ðàŋàlà ùnɛ́ɾɛ́,I pulled the sheep (away) yesterday.,i e ŋ ɡ a v l e ð ə ð a ŋ l a u n ɛ ɾ,train
ìŋgávə́lɛ̂ðɛ̀ ðàŋàlà ùnɛ̀ɾɛ̀,íŋgà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,I pulled the sheep (away) yesterday.,ɡ a v l ə ð r a a l a o n ɛ ɾ,train
íŋgávə́lɛ̂ðɛ̀ ðàŋàlà ùnɛ́ɾɛ̀,íŋgà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,I pulled the sheep (away) yesterday.,i ŋ ɡ a v l e ð e ð a ŋ a l a o n e r,train
ìŋgávə́lɛ̂ðɛ̀ ðàŋàlà ùnɛ́ɾɛ̀,íŋgà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,I pulled the sheep (away) yesterday.,i ŋ ɡ a v l i ð ð ə m a ɾ a n ɛ ɾ,train
ágávə́lɛ̂ðɛ̌ ágávə́lɛ̂ðɛ̀ ðàŋàlà ùnɛ́ɾɛ̀,ágà və́lɛ̀ðɛ̀ ágà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,You pulled the sheep (away) yesterday.,a ð a v l e ð ə a ð a v l e ð ə r e ŋ a l a ʊ n a ɾ e,train
ágávə́lɛ̂ðɛ̀ ðàŋàlà ùnɛ́ɾɛ̀,ágà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,You pulled the sheep (away) yesterday.,a ð a v l i ð e ð a a l a o n ɛ r,train
ágávə́lɛ̂ðɛ̌ ðàŋàlà ùnɛ́ɾɛ̀,ágà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,You pulled the sheep (away) yesterday.,a ð a v l e ð ə r a ŋ a l a o ɛ ɾ,train
ágávə́lɛ̂ðɛ̀ ðàŋàlà ùnɛ́ɾɛ̀,ágà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,n/a,a ɡ a v l e ð e ð a ŋ a l a o n e ɾ e,train
ŋ̀gàvə́lɛ̂ðɛ̌ ŋ̀gávə́lɛ̂ðɛ̌ ŋ̀gávə́lɛ̂ðɛ̀ ðàŋàlà ùnɛ́ɾɛ̀,ŋgà və́lɛ̀ðɛ̀ ŋgá və́lɛ̀ðɛ̀ ŋgá və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,S/he pulled the sheep (away) yesterday.,ɡ a b l ə ð e ɡ a b l e ð e ɡ a b l e ð e ð a ŋ a l a ʊ n e ɾ e,train
ŋ̀gàvə́lɛ̂ðɛ̀ ðàŋàlà ùnɛ́ɾɛ̀,ŋgà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,S/he pulled the sheep (away) yesterday.,ɡ a b l e ð ð a ŋ a l a o n e ɾ e,train
ŋ̀gàvə́lɛ̂ðɛ̀ ðàŋàlà ùnɛ́ɾɛ̀,ŋgà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,n/a,ɡ a b l e ð e ð a ŋ a l a o n a ɾ e,train
ŋ̀gàvə́lɛ̂ðɛ̀ ðàŋàlà ùnɛ́ɾɛ̀,ŋgà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,n/a,k a b l e ð e ð a m a l n a ɾ,train
álávə́lɛ̂ðɛ̌ álávə́lɛ̂ðɛ̌ ðàŋàlà ùnɛ́ɾɛ̀,álà və́lɛ̀ðɛ̀ álà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,You and I pulled the sheep (away) yesterday.,a l a v l ə ð e a l a v l ə ð ɛ d̪ a ŋ a v a ʊ n ɛ ɾ ə,train
álávə́lɛ̂ðɛ̀ ðàŋàlà ùnɛ́ɾɛ̀,álà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,You and I pulled the sheep (away) yesterday.,a l a v l e ð e ð ŋ a l a o n e ɾ,train
álávə́lɛ̂ðɛ̀,álà və́lɛ̀ðɛ̀,You and I pulled (the sheep (away) yesterday).,a l a v l e ð e,train
álávə́lɛ̂ðɛ̀ ðàŋàlà ùnɛ́ɾɛ̀,álà və́lɛ̀ðɛ̀ ðàŋàlà ùnɛ́ɾɛ́,n/a,a l a v l ɛ ð e ð a a l a ʊ n a ɾ e,train
álávə́lɛ̂ðɛ́r ðáŋàlà ùnɛ́ɾɛ̀,álà və́lɛ̀ðɛ̀ŕ ðáŋàlà ùnɛ́ɾɛ́,We (incl.) pulled the sheep (away) yesterday.,a l a v l ə ð ɛ v a a l a ɔ n ɛ ɾ ə,train
álávə́lɛ̂ðɛ́r,álà və́lɛ̀ðɛ̀ŕ,We (incl.) pulled (the sheep (away) yesterday).,a l a v l e ð e r,train
