,src,ref,mBART_hand_label_pred,canary_pred
33,dòɾǐ lìclò,The mountain is good.,The mountain is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1393, 1168, 1885, 1239, 1451, 1547, 2048]), text='The mountain is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
34,dòɾì lìclò,The mountain is good.,The mountain is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1318, 1159, 1239, 1451, 1547, 2048]), text='The chin is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
35,àjɛ́n jɛ̀clò,"The country is good (country, hill, mountain)",The wife is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1393, 1168, 1885, 1239, 1181, 1703]), text='The mountain is nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
36,ɲɛ̌n ɲìclò,"The countries are good (country, hill, mountain)",The dogs are nice,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1421, 2039, 2027, 1480, 1181, 1703]), text='the dogs are nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
37,ɲɛ̌n ɲɛ̀clò,"The countries are good (country, hill, mountain)",The dogs are good.,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1421, 2039, 2027, 1480, 1181, 1703]), text='the dogs are nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
38,lɔ́ɾɔ́ lìcɽò,The back (body part) is good.,The skirt is black,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1318, 1726, 1321, 1480, 1451, 1547, 2048]), text='The chickens are good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
39,lárǒ lìcɽò,the rock is good,The rock is rocketing,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1718, 1388, 1239, 1451, 1547, 2048]), text='The rock is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
40,láró lìcɽò,the rock is good,They will be bad,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1718, 1388, 1239, 1451, 1547, 2048]), text='The rock is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
41,lárʊ̂ lìcɽò,the rock is good,The rock is very black,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1318, 1726, 1321, 1480, 1451, 1547, 2048]), text='The chickens are good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
42,ɔ̀ɽɟɛ̌n kìclò,The gourd is good.,The gourd is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1198, 1237, 2034, 1239, 1451, 1547, 2048]), text='The gourd is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
43,r̀ló rə̀clò,the goat is good,The stick is good.,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 1239, 1181, 1703]), text='Kuku is nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
44,r̀lò rə̀clò,the goat is good,The sticks are good.,"Hypothesis(score=0.0, y_sequence=tensor([1259, 2040, 1335, 1239, 1451, 1547]), text='elbow is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
45,jèɽò jìclò,the goats are good,The trees are good.,"Hypothesis(score=0.0, y_sequence=tensor([1452, 1206, 2023, 2122, 1465, 1192, 2121, 1190, 1185, 1679, 1239, 1451,
        1547]), text='Our (dual) father is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
46,èɽò ìclò,the goats are good,This tree is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1451, 1185, 1239, 1191, 1212]), text='The goat is bad', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
47,èɽǒ ìclò,the goats are good,the axe is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1292, 1213, 1239, 1451, 1547, 2048]), text='The hair is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
48,kícə̀lò,it is good,good/clean,"Hypothesis(score=0.0, y_sequence=tensor([1239, 1181, 1703]), text='is nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
49,ǹd̪òbà kícə̀lò,the morning is good,The morning is good.,"Hypothesis(score=0.0, y_sequence=tensor([1328, 2031, 1547, 1169, 1179, 2025, 1219]), text='Good morning', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
50,kúkù kúkúŋ,Kuku   Kuku-ACC,Kuku will introduce him to you,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 1239, 1451, 1547]), text='Kuku is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
51,íŋgâìt̪ɔ̌ dɛ̂,"No, I am not coming",I am about to drink beer,"Hypothesis(score=0.0, y_sequence=tensor([1258, 1172, 1379, 1238, 2024, 1854, 2024]), text='I will come home', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
52,íŋgâìt̪ɔ̌,I am coming,I am about to see the skirt,"Hypothesis(score=0.0, y_sequence=tensor([1258, 1172, 1379, 1301, 1229, 2023, 2122, 2041, 1174, 2121]), text='I will meet (far)', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
53,ímìdǎn kìcə̀lò,Himidan is good,Himidan is good,"Hypothesis(score=0.0, y_sequence=tensor([1345, 1266, 1244, 1166, 1239, 1451, 1547]), text='Himidan is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
54,mùðù kèclò,The leopard is good,The leopard is wise.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1240, 2031, 2038, 1525, 1239, 1451, 1547, 2048]), text='The leopard is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
55,mùðù kɔ̀là,leopard is tall,The leopard is tall.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1240, 2031, 2038, 1525, 1239, 1160, 1505, 2048]), text='The leopard is tall.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
56,ŋʊ́t̪òlíŋá,of the lion,the lion was instructed by God,"Hypothesis(score=0.0, y_sequence=tensor([1361, 1335, 2043, 1203, 1163, 1226]), text='Now, the lion', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
57,ùɽí kɔ̀là,The trees are tall.,The tree is tall.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1160, 1911, 1239, 1160, 1505, 2048]), text='The tree is tall.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
58,ùɽì kɔ̀là,The trees are tall.,The tree is tall.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1160, 1911, 1239, 1160, 1505]), text='The tree is tall', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
59,t̪òlí t̪ɔ̀là,The lion is tall,lion is tall,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1163, 1226, 1239, 1160, 1505, 2048]), text='The lion is tall.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
60,t̪ùlí t̪òrlà,lions are tall,the lion is tall,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1163, 1226, 1239, 1191, 1225]), text='The lion is big', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
61,t̪ùlí t̪òlà,lion is tall,the lion is tall,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1163, 1226, 1239, 1160, 1505, 2048]), text='The lion is tall.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
